maize_crop_yield,VAR,WMG,SWD,REP,ND2SE,SC8,SC9,SC10,WD3WAS,WD6WAS,WD9WAS,WDW3WAS,WDW6WAS,WDW9WAS,PLTHT3,PLTH6,PLTH9,LA3,LA6,LA9,LAI3,LAI6,LAI9,50%TASSEL,50%SILK,CobL,CobD,Nokelrwcob,NoGrnRow,NoGperCob,CobWgt,1000GWgt,GY
1,3,4,3,3,42,1,3,5,13,31,9,0.53,46,10.24,41.6,115.3,165.7,35.6,223,492.7,0.0095,0.0592,0.1314,52,56,15.5,4,13,37,481,2500,180,1833.33
1,4,1,1,1,37,6,7,15,47,67,99,59.77,64.7,90.4,29.5,79.5,103.2,26.1,184,443.1,0.0071,0.0491,0.1182,59,63,11.33,3.1,12,21,256,2247.07,178,1778.12
1,4,1,1,2,39,1,27,28,24,55,98,28.82,98.57,101.59,40,115.7,149.8,126.3,233.9,405.2,0.0337,0.0624,0.108,58,63,13.9,4.1,13,26,350,2985.95,247.5,2206.35
1,4,1,1,3,40,13,19,22,40,56,63,1.68,93.59,98.46,47.2,121.3,150.1,69.1,263.8,485.3,0.0184,0.0703,0.1294,53,59,14,3.9,12,33,391,2698.38,202.5,2068.95
1,4,1,2,1,41,25,47,75,47,56,77,4.51,24.1,103.5,35.7,90.6,166.8,48.4,235.6,440.4,0.0129,0.0628,0.1174,54,63,14,3.5,13,27,347,2533.33,177,1813.33
1,4,1,2,2,42,14,22,41,50,129,143,16.4,48.95,143.2,42.7,119.8,198.6,43.4,165.5,580.2,0.0116,0.0441,0.1547,54,59,14.7,3.7,13,30,383,4000,234,2975
1,4,1,2,3,48,18,28,50,53,81,99,29.13,100.5,136.7,52.4,136.4,189,77.6,386.4,525.2,0.0207,0.103,0.14,54,61,14.3,3.7,13,32,431,3600,206.5,2750
1,4,1,3,1,39,72,125,160,40,62,214,6.6,30.98,134.5,33.4,111.3,142.3,29.6,293.3,349,0.0079,0.0782,0.0931,54,61,11,3.1,12,24,295,2000,156,1666.67
1,4,1,3,2,41,111,168,183,35,56,163,4.95,28.37,169.57,49.7,166.3,187,60.9,409,422.8,0.0162,0.1091,0.1127,54,57,11.2,3.3,13,26,342,1416.67,144,830
1,4,1,3,3,38,6,6,48,16,49,109,15.9,47.03,138.92,36.4,99.4,139.1,30.8,216.6,377.4,0.0082,0.0578,0.1006,55,61,12,3.5,14,27,373,1250,139,916.67
1,4,2,1,1,56,4,17,20,40,52,105,1.8,8.81,13.29,41.7,114.3,157.4,50.8,300.7,524.5,0.0135,0.0882,0.1399,54,59,16.8,3.9,13,34,437,2655.7,239.5,1909.92
1,4,2,1,2,51,7,23,26,34,66,101,1.35,54.3,60.1,41.7,116.7,171.7,109.9,333.5,453,0.0293,0.0889,0.1208,53,59,15.8,4,13,36,451,4638.67,249.5,3574.02
1,4,2,1,3,54,27,90,93,21,49,73,2.04,49.18,78.5,54.8,152.2,190.1,97.8,573.6,629.2,0.026,0.1529,0.1678,52,56,16.2,4.1,13,40,497,4514.22,258.5,3551.68
